age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,manager_comments
67,,159542,5th-6th,3,Widowed,,Unmarried,Black,Female,0,0,40,United-States,<=50K,[PERSON_217416ca] flagged a conflict with [PERSON_d9a617b3]. Mediation scheduled. HR follow-up: [EMAIL].
48,Private,101684,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,[PERSON_28cf5c82] requested a transfer. Approved by [PERSON_2fc63c6c]. Reach them at [PHONE] for handover. Ticket HR-24680.
49,Self-emp-not-inc,99335,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,Strong year for [PERSON_294be7f4]. Bonus wired to account [IBAN]. Validated by [PERSON_60d0d807] on 2025-02-11.
58,Self-emp-not-inc,143731,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,72,United-States,>50K,Plan d'accompagnement ouvert pour [PERSON_143843a9]. Coaching confié à Pauline Monnier ([EMAIL]).
39,Private,245053,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,Strong year for [PERSON_1963f3ef]. Bonus wired to account [IBAN]. Validated by [PERSON_3b11eb9d] on 2025-08-03.
38,State-gov,31352,Some-college,10,Divorced,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,>50K,"Annual review for [PERSON_9009e2e9]: solid contributor, no concern. Manager: [PERSON_0fa4f9ab], contact [EMAIL]."
75,Self-emp-inc,125197,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,26,United-States,<=50K,Behavioral concern raised by colleague [PERSON_3c071256]. Manager [PERSON_a5f4b80c] ([EMAIL]) to follow up by 2025-07-13. Reference ticket HR-65938.
26,Private,324854,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K,[PERSON_a06602fd] requested a transfer. Approved by [PERSON_dce782ed]. Reach them at [PHONE] for handover. Ticket HR-20125.
37,Private,259785,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,Alerte comportementale signalée par [PERSON_6be6cdcb]. Suivi [PERSON_b78fa2e7] : [EMAIL].
48,Self-emp-inc,481987,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,Prime versée à [PERSON_80c30a31] [IBAN]. [PERSON_89708ecc] : [PERSON_9c5bf852].
23,Private,149224,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K,Performance below target for [PERSON_d55f3f40]. Action plan owned by [PERSON_7852cfb3]. Ticket HR-34302.
23,Private,65481,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,>50K,Alerte comportementale signalée par [PERSON_ac7da5f3] au sujet de Sabine Rey du Grondin. Suivi [PERSON_b78fa2e7] : [EMAIL].
34,Private,261799,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,45,United-States,>50K,RAS pour [PERSON_63b42f83] [PERSON_d788f46f]. Manager : Philippine de la Duval.
55,Self-emp-not-inc,95149,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,99,United-States,<=50K,Onboarding complete for [PERSON_d4b984b7]. Buddy assigned: [PERSON_86ceee02] ([EMAIL]). No issues.
39,Private,225330,Bachelors,13,Widowed,Prof-specialty,Unmarried,White,Female,0,0,50,Poland,>50K,"[PERSON_0179c4eb] on extended leave since 2025-07-20. Backfill discussed with [PERSON_6fcb802a], [PHONE]."
55,Private,160662,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,80,United-States,>50K,"Annual review for [PERSON_bc61e830]: solid contributor, no concern. Manager: [PERSON_06c10101], contact [EMAIL]."
65,,106910,11th,7,Divorced,,Not-in-family,Asian-Pac-Islander,Female,0,0,15,United-States,<=50K,"[PERSON_38d60710] on extended leave since 2025-03-16. Backfill discussed with [PERSON_089653b3], [PHONE]."
26,Private,167761,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,Behavioral concern raised by colleague [PERSON_db44042e]. Manager [PERSON_1feeb69b] ([EMAIL]) to follow up by 2025-05-09. Reference ticket HR-39822.
32,Private,45796,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K,"[PERSON_4ca0a3bb] is a strong promotion candidate this year. Discussed with HR ([PERSON_a2f21d58], [PHONE]). Budget pre-approved on account [IBAN]."
50,Private,183638,HS-grad,9,Widowed,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K,RAS pour Marguerite du Diaz cette année. Manager : [PERSON_37c07853].
44,Private,193755,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,>50K,Performance below target for [PERSON_e990aa32]. Action plan owned by [PERSON_478433f0]. Ticket HR-54099.
66,Self-emp-not-inc,28061,7th-8th,4,Widowed,Farming-fishing,Unmarried,White,Male,0,0,50,United-States,<=50K,Alerte comportementale signalée par [PERSON_5e7a9198]. Suivi [PERSON_b78fa2e7] : [EMAIL].
50,State-gov,288353,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K,RAS pour [PERSON_c7188ab2] cette année. Manager : [PERSON_1cb7f72d].
36,Private,28996,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50K,Behavioral concern raised by colleague [PERSON_ea3f70e4]. Manager [PERSON_9f802bbd] ([EMAIL]) to follow up by 2025-03-14. Reference ticket HR-20314.
25,Private,250038,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,,<=50K,"[PERSON_f70059d7] on extended leave since 2025-01-28. Backfill discussed with [PERSON_c2536d88], [PHONE]."
35,Private,119992,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K,[PERSON_73ecc873] flagged a conflict with [PERSON_a6678cc2]. Mediation scheduled. HR follow-up: [EMAIL].
47,Self-emp-not-inc,258498,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,52,United-States,<=50K,"Annual review for [PERSON_b8fc1f59]: solid contributor, no concern. Manager: [PERSON_7b89ef85], contact [EMAIL]."
27,Self-emp-not-inc,151402,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1573,70,United-States,<=50K,[PERSON_41fbbf06] flagged a conflict with [PERSON_c8fc54c1]. Mediation scheduled. HR follow-up: [EMAIL].
46,State-gov,27802,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,38,United-States,>50K,[PERSON_2331c73f] flagged a conflict with [PERSON_8f64e41f]. Mediation scheduled. HR follow-up: [EMAIL].
31,Private,263561,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,[PERSON_4146d0c3] flagged a conflict with [PERSON_c4ca4903]. Mediation scheduled. HR follow-up: [EMAIL].
34,Private,224358,10th,6,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K,"[PERSON_ece8e3f3] is a strong promotion candidate this year. Discussed with HR ([PERSON_985a7307], [PHONE]). Budget pre-approved on account [IBAN]."
33,Local-gov,292217,HS-grad,9,Divorced,Protective-serv,Unmarried,White,Male,0,0,40,United-States,<=50K,Plan d'accompagnement ouvert pour [PERSON_1cf43320]. Coaching confié à Océane Coste ([EMAIL]).
35,Private,148903,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K,Plan d'accompagnement ouvert pour [PERSON_708adfc7]. Coaching confié à [PERSON_4597ea8f] ([EMAIL]).
38,Federal-gov,48123,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,Strong year for [PERSON_e99d38e2]. Bonus wired to account [IBAN]. Validated by [PERSON_5ff90335] on 2025-12-27.
44,Private,165492,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,[PERSON_0c2b36da] flagged a conflict with [PERSON_95dad6fd]. Mediation scheduled. HR follow-up: [EMAIL].
36,Local-gov,196529,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K,Behavioral concern raised by colleague [PERSON_f799c673]. Manager [PERSON_7a691cec] ([EMAIL]) to follow up by 2025-06-05. Reference ticket HR-86732.
47,Private,102308,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,Strong year for [PERSON_d3477175]. Bonus wired to account [IBAN]. Validated by [PERSON_e2fca797] on 2025-05-05.
32,Private,26803,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,84,United-States,>50K,"[PERSON_2eca7223] on extended leave since 2025-08-06. Backfill discussed with [PERSON_a6bfea02], [PHONE]."
52,Self-emp-inc,287927,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,15024,0,40,United-States,>50K,"[PERSON_88247782] is a strong promotion candidate this year. Discussed with HR ([PERSON_2e7e8285], [PHONE]). Budget pre-approved on account [IBAN]."
61,State-gov,162678,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,RAS pour Marine Masson cette année. Manager : Rémy Renard.
24,Self-emp-not-inc,277700,Some-college,10,Separated,Handlers-cleaners,Own-child,White,Male,0,0,45,United-States,<=50K,[PERSON_013f86e2] flagged a conflict with [PERSON_c6193595]. Mediation scheduled. HR follow-up: [EMAIL].
